iso3c,country,emptying_method,population_2017,population_emptying_method,count_pits_septics,emptying_demand,urban_demand,rural_demand
BRA,Brazil,non-mechanized,209288304.06109858,13588999.3898548,4085671.6141485656,0.06492956904981989,0.5818937222341775,0.4181062777658225
VGB,British Virgin Islands,non-mechanized,NA,0,0,NA,NA,NA
CYM,Cayman Islands,non-mechanized,NA,0,0,NA,NA,NA
CHL,Chile,non-mechanized,18054734.725888643,536922.8861591386,150128.36047840002,0.029738619498476823,0.1395382694665315,0.8604617305334685
COL,Colombia,non-mechanized,49065610.7595189,4009486.294865079,1098937.2923390628,0.08171683247797389,0.15597936078424982,0.8440206392157502
CRI,Costa Rica,non-mechanized,4905768.67560216,931301.5145522759,268138.5255883867,0.18983804091373366,0.7456130413237917,0.2543869586762083
CUB,Cuba,non-mechanized,11484635.673065167,2321146.5378317893,730260.0345466656,0.2021088525494594,0.4831595870680793,0.5168404129319206
CUW,Curaçao,non-mechanized,160538.9906368221,0,0,0,NA,NA
DMA,Dominica,non-mechanized,NA,0,0,NA,NA,NA
DOM,Dominican Republic,non-mechanized,10766998.632462569,3135699.514831341,826655.5535413254,0.29123246151227206,0.7096017494520575,0.2903982505479426
ECU,Ecuador,non-mechanized,16624857.793386139,2296553.456756131,568621.7623479454,0.13813973540692587,0.18797475415638884,0.8120252458436111
SLV,El Salvador,non-mechanized,6377854.293358549,1287846.337108145,288236.80207621015,0.20192470349302558,0.44202398436523366,0.5579760156347664
FLK,Falkland Islands (Malvinas),non-mechanized,2910.0001199999997,0,0,0,NA,NA
GUF,French Guiana,non-mechanized,282731.0225627962,0,0,0,NA,NA
GRD,Grenada,non-mechanized,107824.99244992007,0,0,0,NA,NA
GLP,Guadeloupe,non-mechanized,449567.97697265766,0,0,0,NA,NA
GTM,Guatemala,non-mechanized,16913510.41842676,2601017.5149615663,479194.7966216859,0.1537834222828063,0.19013604596896197,0.8098639540310381
GUY,Guyana,non-mechanized,777858.9824454173,374153.7236838599,91191.13833586925,0.48100456783002365,0.17265534195191273,0.8273446580480873
HTI,Haiti,non-mechanized,10981230.415554462,5634626.298279268,898124.5501140585,0.5131142945783244,0.7114137015828007,0.2885862984171993
HND,Honduras,non-mechanized,9265068.093262706,1614252.984413084,338787.6638381127,0.17423001840503718,0.2624819319293922,0.7375180680706078
JAM,Jamaica,non-mechanized,2890298.553790563,852262.853524473,257728.51936126818,0.29487017955523975,0.3562540224514868,0.6437459775485131
MTQ,Martinique,non-mechanized,384895.9655102225,0,0,0,NA,NA
MEX,Mexico,non-mechanized,129163259.24036303,7356601.457531925,1849795.0340906088,0.05695583636397598,0.314812181103545,0.6851878188964551
MSR,Montserrat,non-mechanized,NA,0,0,NA,NA,NA
NIC,Nicaragua,non-mechanized,6217579.051386828,1787736.5071265055,345612.9523004647,0.28752935706185384,0.2776782814427226,0.7223217185572774
PAN,Panama,non-mechanized,4098587.5044567515,671632.4347449057,173360.43483698962,0.16386924373691697,0.4748838860779162,0.5251161139220837
PRY,Paraguay,non-mechanized,6811297.743692834,1711429.0683469,361021.0637838637,0.2512632882524713,0.5546028627567913,0.4453971372432086
PER,Peru,non-mechanized,32165465.93273383,1992729.826871382,498950.93685418693,0.06195246265167391,0.23539837422061777,0.7646016257793822
PRI,Puerto Rico,non-mechanized,3663130.8220668593,0,0,0,NA,NA
KNA,Saint Kitts and Nevis,non-mechanized,NA,0,0,NA,NA,NA
LCA,Saint Lucia,non-mechanized,178844.00866326594,47263.50103520844,12020.187145035767,0.26427220787808386,0.15044298205413897,0.849557017945861
VCT,Saint Vincent and the Grenadines,non-mechanized,109897.00021055054,0,0,0,NA,NA
SXM,Sint Maarten (Dutch part),non-mechanized,40120.0040619437,0,0,0,NA,NA
SUR,Suriname,non-mechanized,563401.9925899322,213840.7182875272,50010.99090615507,0.37955264819797957,0.5753008173142186,0.4246991826857815
TTO,Trinidad and Tobago,non-mechanized,1369124.962115212,0,0,0,NA,NA
TCA,Turks and Caicos Islands,non-mechanized,35446,0,0,0,NA,NA
VIR,United States Virgin Islands,non-mechanized,104901.00273760447,0,0,0,NA,NA
URY,Uruguay,non-mechanized,3456750.3206200795,336764.6743431284,119251.90713825477,0.09742233112246268,0.8770933432927243,0.12290665670727578
VEN,Venezuela (Bolivarian Republic of),non-mechanized,31977084.779284958,0,0,0,NA,NA
DZA,Algeria,non-mechanized,41318123.42142925,2496441.765599813,465886.65927148686,0.0604200181149819,0.17721303180445575,0.8227869681955443
ARM,Armenia,non-mechanized,2930444.2790202904,190133.97700173478,46930.42556157354,0.06488230414853703,0.016217583422822923,0.983782416577177
AZE,Azerbaijan,non-mechanized,9827636.216505077,2200898.5545995417,477266.55450694705,0.22394994138094274,0.21875512307083517,0.7812448769291648
BHR,Bahrain,non-mechanized,1492584,0,0,0,NA,NA
CYP,Cyprus,non-mechanized,1179551.0937417878,141085.8329150207,51354.501717188585,0.11960976821060487,0.37568151516573656,0.6243184848342633
EGY,Egypt,non-mechanized,97553157.01136142,8173376.537475615,1894754.4167744317,0.0837838239978611,0.049065695294299216,0.9509343047057008
GEO,Georgia,non-mechanized,3912058.650758073,786881.1745024726,223257.67089715519,0.20114247887106496,0.09382681126525559,0.9061731887347445
IRQ,Iraq,non-mechanized,38274617.3528869,10953780.490301376,1409703.9674487675,0.2861891574070871,0.5725940066957671,0.4274059933042329
ISR,Israel,non-mechanized,8321571.158034277,17576.82258,5594.2482713360105,0.0021121999975966077,0.5464444141587279,0.4535555858412721
JOR,Jordan,non-mechanized,9702354.115704602,1159989.6934934868,227180.08070539794,0.11955755063772441,0.7328552677263873,0.2671447322736127
KWT,Kuwait,non-mechanized,NA,0,0,NA,NA,NA
LBN,Lebanon,non-mechanized,6082357.000000001,0,0,0,NA,NA
LBY,Libya,non-mechanized,6374619.656595086,0,0,0,NA,NA
MAR,Morocco,non-mechanized,35739582.13855359,7231944.596417656,1355236.9936752894,0.20235112342335682,0.10499323732286624,0.8950067626771337
OMN,Oman,non-mechanized,4636262.242827791,1352743.5010509072,168719.41616250516,0.29177458698406794,0.7534618141225462,0.24653818587745388
QAT,Qatar,non-mechanized,2639209.566797238,0,0,0,NA,NA
SAU,Saudi Arabia,non-mechanized,32938215.079899818,0,0,0,NA,NA
SDN,Sudan,non-mechanized,40533342.58961601,10754427.295529183,1679766.9893319122,0.26532298124074016,0.4369436543943434,0.5630563456056565
SYR,Syrian Arab Republic,non-mechanized,18269868.06350311,2298457.9091908555,439621.81458867755,0.12580593911252053,0.07183613626160695,0.928163863738393
TUN,Tunisia,non-mechanized,11532128.173141873,1658452.6858746945,312827.5705520068,0.1438115030439223,0.2291709368969792,0.7708290631030208
TUR,Turkey,non-mechanized,80745044.75601278,2995714.016455806,727802.5025031741,0.037100902296951496,0.17233412793684894,0.827665872063151
ARE,United Arab Emirates,non-mechanized,9400150.819728967,0,0,0,NA,NA
PSE,West Bank and Gaza Strip,non-mechanized,4920723.466079375,1259832.990601258,249136.51936587776,0.25602596839383857,0.6930990808238883,0.3069009191761117
YEM,Yemen,non-mechanized,28250423.376752406,6739249.541468969,937901.7914069736,0.23855393073559292,0.15354356851777337,0.8464564314822267
ASM,American Samoa,non-mechanized,55641,0,0,0,NA,NA
COK,Cook Islands,non-mechanized,NA,0,0,NA,NA,NA
FJI,Fiji,non-mechanized,NA,0,0,NA,NA,NA
PYF,French Polynesia,non-mechanized,283007.0134989383,0,0,0,NA,NA
GUM,Guam,non-mechanized,NA,0,0,NA,NA,NA
KIR,Kiribati,non-mechanized,116398.00802249892,0,0,0,NA,NA
MHL,Marshall Islands,non-mechanized,53127.00311715643,23920.185091512663,4551.530732913503,0.45024533077394796,0.6992497567448674,0.3007502432551325
FSM,Micronesia (Federated States of),non-mechanized,105543.997793472,0,0,0,NA,NA
NRU,Nauru,non-mechanized,11359.000015433978,5022.577988244549,788.9858076628295,0.44216726660974986,1,0
NCL,New Caledonia,non-mechanized,NA,0,0,NA,NA,NA
NIU,Niue,non-mechanized,1618,0,0,0,NA,NA
MNP,Northern Mariana Islands,non-mechanized,55143.99435431121,0,0,0,NA,NA
PLW,Palau,non-mechanized,21728.999990816334,2454.8279813500003,489.78437748504024,0.1129747334155977,0.5620017534757353,0.43799824652426456
PNG,Papua New Guinea,non-mechanized,8251165.611192605,730818.3421533002,130959.92494776647,0.08857152753811583,0.27843683564231075,0.7215631643576893
WSM,Samoa,non-mechanized,196440.00449179963,69880.73653030406,13942.521960690985,0.3557357713928439,0.16490595225344196,0.8350940477465582
SLB,Solomon Islands,non-mechanized,611342.8721513482,115172.70866900608,21006.612135777043,0.1883929852060059,0.4233828098250474,0.5766171901749526
TKL,Tokelau,non-mechanized,NA,0,0,NA,NA,NA
TON,Tonga,non-mechanized,108019.99731955702,25583.593642974178,5067.546259830011,0.236841272707033,0.23997708687858382,0.7600229131214161
TUV,Tuvalu,non-mechanized,11191.999891473786,507.8209552905,96.55186834357013,0.04537356685263773,0.3837988953084979,0.616201104691502
VUT,Vanuatu,non-mechanized,276244.005072261,96153.89109057547,12680.732743148425,0.3480759376675818,0.2271949465835502,0.7728050534164498
WLF,Wallis and Futuna Islands,non-mechanized,11900,0,0,0,NA,NA
AGO,Angola,non-mechanized,29784196.593882326,10741485.774477001,1817689.8823381267,0.3606437978146875,0.7458808253151119,0.25411917468488804
BEN,Benin,non-mechanized,11175688.255369607,2484509.505694957,320076.2012872606,0.22231378049590989,0.7015061747286058,0.2984938252713942
BWA,Botswana,non-mechanized,2291660.9615384615,578096.4561210566,155396.26818825607,0.25226089976807164,0.6793411529319142,0.32065884706808573
BFA,Burkina Faso,non-mechanized,19193338.94925281,6036239.188453631,611433.2995043567,0.3144965659395401,0.34575460043154577,0.6542453995684543
BDI,Burundi,non-mechanized,10864239.920058692,4381909.162380232,809089.4539724381,0.40333324692967193,0.08482923963000093,0.915170760369999
CIV,CÃ´te d'Ivoire,non-mechanized,24294753.938055202,7407681.346111231,1103284.3597091096,0.30490867966799484,0.5616686508140132,0.43833134918598676
CPV,Cabo Verde,non-mechanized,546388.0174999244,105088.48989352517,20771.44263849905,0.19233307929110965,0.49570261411902233,0.5042973858809777
CMR,Cameroon,non-mechanized,24053722.80135783,8474586.69065348,1334099.0955232566,0.3523191300007453,0.7109244906621287,0.2890755093378713
CAF,Central African Republic,non-mechanized,NA,0,0,NA,NA,NA
TCD,Chad,non-mechanized,14899995.708580084,1460184.9732159516,176746.11840440775,0.09799901971616755,0.7708500903238339,0.22914990967616605
COM,Comoros,non-mechanized,813911.4018581461,193173.9438280089,29541.212062389553,0.23734026011553103,0.2812428414151815,0.7187571585848186
COG,Congo,non-mechanized,5260749.268979484,1378272.0429646063,187251.88979126172,0.2619915857027668,0.8257069167270282,0.17429308327297172
COD,Democratic Republic of the Congo,non-mechanized,81340045.87200467,23040074.18094886,2977452.7118054265,0.2832562231057053,0.44747619163747954,0.5525238083625204
DJI,Djibouti,non-mechanized,956984.8438145743,190036.89882788865,36798.06781546317,0.19857879678678617,0.8036708396679062,0.19632916033209388
GNQ,Equatorial Guinea,non-mechanized,1267689.4190510977,570981.5061313465,107886.45330267519,0.4504111950060628,0.7018676346514419,0.29813236534855825
ERI,Eritrea,non-mechanized,NA,0,0,NA,NA,NA
SWZ,Eswatini,non-mechanized,1367255.194847844,572434.9898625568,98097.42460627748,0.41867457664058144,0.09562647105385198,0.904373528946148
ETH,Ethiopia,non-mechanized,104957569.24398701,6944462.787244262,1065108.9108044137,0.06616447805780439,0.49894662712815513,0.5010533728718449
GAB,Gabon,non-mechanized,2025137.0059883092,293957.0367397849,55087.043277870995,0.145154148025816,0.7314891891703312,0.26851081082966893
